# Constructed from biom file
#OTU ID	SRR9277638	SRR9277639	SRR9277640	SRR9277641	SRR9277642	SRR9277643	SRR9277644	SRR9277645	SRR9277646	SRR9277647	SRR9277648	SRR9277649	SRR9277650	SRR9277651	SRR9277652	SRR9277653	SRR9277654	SRR9277655	SRR9277656	SRR9277657	SRR9277658	SRR9277659	SRR9277660	SRR9277661	SRR9277662	SRR9277663	SRR9277664	SRR9277665	SRR9277666	SRR9277667
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x	599.0	3337.0	0.0	0.0	446.0	217.0	345.0	10.0	0.0	23.0	25.0	129.0	1219.0	66.0	553.0	289.0	280.0	48.0	78.0	627.0	281.0	129.0	92.0	446.0	103.0	5129.0	61.0	1168.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium	16.0	1307.0	0.0	0.0	21.0	768.0	4724.0	28.0	0.0	425.0	299.0	1312.0	779.0	0.0	1071.0	94.0	250.0	83.0	108.0	275.0	329.0	128.0	32.0	162.0	341.0	444.0	30.0	348.0	135.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	1393.0	666.0	0.0	0.0	6867.0	553.0	946.0	7.0	0.0	0.0	2.0	370.0	146.0	0.0	661.0	0.0	280.0	31.0	31.0	235.0	7.0	130.0	0.0	79.0	0.0	452.0	0.0	2213.0	0.0	4.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	509.0	497.0	190.0	0.0	259.0	156.0	1271.0	102.0	0.0	2014.0	130.0	1587.0	324.0	26.0	1007.0	1248.0	102.0	5.0	16.0	644.0	606.0	273.0	70.0	160.0	0.0	8416.0	4.0	1096.0	82.0	2538.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	1710.0	584.0	0.0	259.0	1271.0	4672.0	63.0	7642.0	64.0	111.0	924.0	5480.0	0.0	2256.0	195.0	5107.0	5987.0	344.0	874.0	0.0	669.0	78.0	271.0	26.0	2973.0	39.0	2515.0	654.0	127.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__	0.0	1.0	530.0	4.0	0.0	872.0	19.0	0.0	0.0	639.0	40.0	31.0	0.0	0.0	26.0	782.0	0.0	0.0	0.0	0.0	103.0	3150.0	68.0	4.0	0.0	211.0	337.0	42.0	28.0	4.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus	0.0	0.0	5317.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	334.0	48.0	0.0	0.0	0.0	0.0	726.0	0.0	0.0	0.0	424.0	169.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__	0.0	0.0	20.0	0.0	0.0	0.0	0.0	173.0	5581.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	4.0	1.0	16.0	0.0	0.0	21.0	6.0	24.0	4.0	0.0	4.0	0.0	4.0	46.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum	502.0	428.0	0.0	0.0	137.0	448.0	1330.0	13.0	0.0	82.0	38.0	377.0	638.0	0.0	999.0	116.0	126.0	78.0	31.0	282.0	79.0	118.0	40.0	127.0	51.0	1441.0	0.0	268.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;__	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	447.0	0.0	0.0	0.0	4466.0	0.0	4.0	0.0	0.0	2.0	52.0	10.0	7.0	0.0	8.0	0.0	18.0	8.0	6.0	0.0	0.0
